datetime,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,rain,snow,weather,isHoliday
2024-01-28,1706407200,1706395174,1706431791,0.51,0.51,1030,51,-7.51,,75,10000.0,1.03,350,0.0,0.0,Clouds,False
2024-01-11,1704974400,1704926810,1704961915,3.2,0.27,1016,81,0.26,,75,8000.0,3.09,250,0.0,0.0,Clouds,False
2024-01-13,1705158000,1705185974,1705221291,-2.71,-2.71,1026,80,-5.34,,0,10000.0,1.03,200,0.0,0.0,Clear,False
2024-01-30,1706605200,1706567888,1706604725,3.78,1.88,1027,45,-6.26,,0,10000.0,2.06,310,0.0,0.0,Clear,False
2024-01-24,1706112000,1706136090,1706172391,-7.42,-11.19,1029,57,-13.72,,0,10000.0,2.06,280,0.0,0.0,Clear,False
2024-01-08,1704733200,1704754025,1704789002,-2.01,-4.88,1024,69,-6.38,,75,10000.0,2.06,170,0.0,0.0,Clouds,False
2024-01-15,1705341600,1705358739,1705394213,-7.26,-7.26,1032,73,-10.83,,0,10000.0,1.03,330,0.0,0.0,Clear,False
2024-01-17,1705482000,1705445119,1705480675,0.69,-1.72,1024,93,-0.27,,100,2500.0,2.06,360,0.0,0.41,Rain,False
2024-01-31,1706677200,1706654242,1706691192,9.73,8.14,1023,20,-10.84,,0,10000.0,3.09,320,0.0,0.0,Clear,False
2024-01-05,1704434400,1704408430,1704443190,8.35,5.68,1019,66,2.38,,39,4000.0,4.63,270,0.0,0.0,Haze,False
2024-01-10,1704895200,1704840419,1704875458,-2.87,-5.89,1022,92,-3.86,,2,,2.07,222,0.0,0.0,Clear,False
2024-01-04,1704373200,1704322026,1704356740,3.04,0.08,1020,75,-0.84,,75,7000.0,3.09,130,0.0,0.0,Clouds,False
2024-01-17,1705467600,1705445119,1705480675,0.51,-2.49,1026,93,-0.43,,100,5000.0,2.57,30,0.0,0.27,Snow,False
2024-01-05,1704416400,1704408430,1704443190,5.8,4.24,1021,76,1.9,,40,3500.0,2.06,210,0.0,0.0,Mist,False
2024-01-29,1706500800,1706481532,1706518258,2.32,-0.79,1032,45,-7.46,,20,10000.0,3.09,290,0.0,0.0,Clouds,False
2024-01-13,1705125600,1705099588,1705134831,4.31,3.11,1026,26,-12.06,,0,10000.0,1.54,330,0.0,0.0,Clear,False
