Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Rainfall(mm),Snowfall (cm),Seasons,Holiday,hour diff,Functioning Day,rental_cnt
2,0.51,51,1.03,10000.0,-7.51,0.0,0.0,3,1,53978.0,1,761
12,3.2,81,3.09,8000.0,0.26,0.0,0.0,3,1,53580.0,1,3153
15,-2.71,80,1.03,10000.0,-5.34,0.0,0.0,3,1,53631.0,1,4472
9,3.78,45,2.06,10000.0,-6.26,0.0,0.0,3,1,54033.0,1,3800
16,-7.42,57,2.06,10000.0,-13.72,0.0,0.0,3,1,53896.0,1,2769
17,-2.01,69,2.06,10000.0,-6.38,0.0,0.0,3,1,53513.0,1,5152
18,-7.26,73,1.03,10000.0,-10.83,0.0,0.0,3,1,53682.0,1,6979
9,0.69,93,2.06,2500.0,-0.27,0.0,0.41,3,1,53721.0,1,4055
5,9.73,20,3.09,10000.0,-10.84,0.0,0.0,3,1,54053.0,1,964
6,8.35,66,4.63,4000.0,2.38,0.0,0.0,3,1,53430.0,1,2173
14,-2.87,92,2.07,9150.339366515836,-3.86,0.0,0.0,3,1,53558.0,1,2934
13,3.04,75,3.09,7000.0,-0.84,0.0,0.0,3,1,53413.0,1,3497
5,0.51,93,2.57,5000.0,-0.43,0.0,0.27,3,1,53717.0,1,1028
1,5.8,76,2.06,3500.0,1.9,0.0,0.0,3,1,53425.0,1,1335
4,2.32,45,3.09,10000.0,-7.46,0.0,0.0,3,1,54004.0,1,417
6,4.31,26,1.54,10000.0,-12.06,0.0,0.0,3,1,53622.0,1,820
4,8.29,25,2.06,8000.0,-9.42,0.0,0.0,3,1,54052.0,1,734
3,-0.92,49,1.15,9150.339366515836,-9.26,0.0,0.0,3,1,53691.0,1,458
4,5.25,70,1.54,10000.0,0.23,0.0,0.0,3,1,53740.0,1,375
7,3.57,56,4.63,10000.0,-3.88,0.0,0.0,3,1,53959.0,1,1129
19,-6.07,100,0.51,7000.0,-6.07,0.0,0.0,3,1,53995.0,1,2300
1,2.63,94,1.54,10000.0,1.76,0.0,0.0,3,0,53329.0,1,1617
21,-2.07,93,4.12,3500.0,-2.93,0.0,0.0,3,1,54069.0,1,3961
3,-1.66,40,3.6,10000.0,-12.22,0.0,0.0,3,1,53667.0,1,345
4,4.17,42,1.54,8000.0,-6.74,0.0,0.0,3,1,54028.0,1,414
13,-10.56,57,3.09,10000.0,-16.72,0.0,0.0,3,1,53869.0,1,1682
3,-1.66,40,3.6,10000.0,-12.22,0.0,0.0,3,1,53667.0,1,345
