,Hour,dayofweek,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Rainfall(mm),Snowfall (cm),hour diff,isWeekend,Holiday,weather_Clouds,weather_Drizzle,weather_Dust,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Snow,weather_Thunderstorm,rental_cnt
0,2,6,0.51,51,1.03,10000.0,-7.51,0.0,0.0,53978.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761
1,12,3,3.2,81,3.09,8000.0,0.26,0.0,0.0,53580.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3153
2,15,5,-2.71,80,1.03,10000.0,-5.34,0.0,0.0,53631.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4472
3,9,1,3.78,45,2.06,10000.0,-6.26,0.0,0.0,54033.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800
4,16,2,-7.42,57,2.06,10000.0,-13.72,0.0,0.0,53896.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2769
5,17,0,-2.01,69,2.06,10000.0,-6.38,0.0,0.0,53513.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5152
6,18,0,-7.26,73,1.03,10000.0,-10.83,0.0,0.0,53682.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6979
7,9,2,0.69,93,2.06,2500.0,-0.27,0.0,0.41,53721.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4055
8,5,2,9.73,20,3.09,10000.0,-10.84,0.0,0.0,54053.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964
9,6,4,8.35,66,4.63,4000.0,2.38,0.0,0.0,53430.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2173
10,14,2,-2.87,92,2.07,9150.339366515836,-3.86,0.0,0.0,53558.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2934
11,13,3,3.04,75,3.09,7000.0,-0.84,0.0,0.0,53413.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3497
12,5,2,0.51,93,2.57,5000.0,-0.43,0.0,0.27,53717.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1028
13,1,4,5.8,76,2.06,3500.0,1.9,0.0,0.0,53425.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1335
14,4,0,2.32,45,3.09,10000.0,-7.46,0.0,0.0,54004.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417
15,6,5,4.31,26,1.54,10000.0,-12.06,0.0,0.0,53622.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820
16,4,2,8.29,25,2.06,8000.0,-9.42,0.0,0.0,54052.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734
17,3,1,-0.92,49,1.15,9150.339366515836,-9.26,0.0,0.0,53691.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458
18,4,3,5.25,70,1.54,10000.0,0.23,0.0,0.0,53740.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375
19,7,5,3.57,56,4.63,10000.0,-3.88,0.0,0.0,53959.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129
20,19,6,-6.07,100,0.51,7000.0,-6.07,0.0,0.0,53995.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300
21,1,0,2.63,94,1.54,10000.0,1.76,0.0,0.0,53329.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1617
22,21,2,-2.07,93,4.12,3500.0,-2.93,0.0,0.0,54069.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3961
23,3,0,-1.66,40,3.6,10000.0,-12.22,0.0,0.0,53667.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345
24,4,1,4.17,42,1.54,8000.0,-6.74,0.0,0.0,54028.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414
25,13,1,-10.56,57,3.09,10000.0,-16.72,0.0,0.0,53869.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1682
26,3,0,-1.66,40,3.6,10000.0,-12.22,0.0,0.0,53667.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345
27,1,3,-0.01,80,2.06,4000.0,-2.69,0.0,0.0,53569.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1048
28,4,1,0.24,93,2.06,1500.0,-0.67,0.0,0.36,53524.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,462
29,7,1,2.19,28,1.54,10000.0,-12.9,0.0,0.0,53695.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3957
30,22,2,-9.62,52,1.54,10000.0,-16.8,0.0,0.0,53902.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1852
31,0,4,4.3,75,2.57,10000.0,0.27,0.0,0.0,53760.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1734
32,8,4,2.82,44,4.63,10000.0,-7.3,0.0,0.0,53600.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7138
33,9,6,1.19,93,4.12,9000.0,0.19,0.0,0.0,53649.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1952
34,8,5,2.68,81,5.66,10000.0,-0.22,0.52,0.0,53792.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2439
35,19,0,-2.03,74,3.09,10000.0,-5.58,0.0,0.0,53515.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4274
36,7,0,6.03,67,3.1,10000.0,0.37,0.0,0.0,53335.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995
37,20,5,-5.74,73,0.51,10000.0,-9.35,0.0,0.0,53972.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2171
