datetime,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,rain,snow,weather,isHoliday
2025-01-13,1736773200,1736721978,1736757275,1.83,-0.95,1024,90,0.37,,75,1800.0,2.6,180,0.0,0.0,Rain,False
2025-01-29,1738162800,1738190254,1738227175,-5.28,-9.4,1028,59,-11.3,,0,10000.0,2.6,270,0.0,0.0,Clear,True
2025-01-23,1737633600,1737585734,1737621908,-2.21,-2.21,1026,68,-6.74,,0,10000.0,1.03,300,0.0,0.0,Clear,False
2025-01-31,1738281600,1738276607,1738313643,-3.22,-6.34,1029,92,-4.2,,100,4000.0,2.1,20,0.0,0.27,Snow,False
2025-01-28,1738094400,1738103899,1738140708,-5.14,-9.78,1023,79,-7.87,,40,3300.0,3.1,300,0.0,0.0,Snow,True
2025-01-04,1736002800,1736030831,1736065628,-3.22,-5.5,1025,73,-6.9,,20,10000.0,1.54,180,0.0,0.0,Clouds,False
2025-01-18,1737219600,1737240254,1737276048,-4.22,-6.64,1021,85,-6.12,,75,10000.0,1.54,80,0.0,0.0,Clouds,False
2025-01-23,1737637200,1737585734,1737621908,-3.22,-6.34,1026,73,-6.9,,0,10000.0,2.1,300,0.0,0.0,Clear,False
2025-01-29,1738112400,1738103899,1738140708,-5.07,-9.15,1026,73,-8.7,,40,10000.0,2.6,270,0.0,0.0,Snow,True
2025-01-09,1736391600,1736376420,1736411443,-7.77,-14.77,1026,33,-19.89,,0,4200.0,8.23,310,0.0,0.0,Clear,False
2025-01-24,1737756000,1737758463,1737794840,-5.21,-7.77,1029,92,-6.18,,0,10000.0,1.54,310,0.0,0.0,Clear,False
2025-01-18,1737230400,1737240254,1737276048,0.53,-2.95,1020,58,-6.01,,75,10000.0,3.1,70,0.0,0.0,Clouds,False
2025-01-22,1737568800,1737585734,1737621908,-5.22,-5.22,1026,100,-5.22,,0,3000.0,1.03,210,0.0,0.0,Mist,False
2025-01-14,1736812800,1736808362,1736843736,1.43,-0.79,1024,96,0.86,,40,1200.0,2.0,20,0.0,0.0,Mist,False
2025-01-01,1735711200,1735685210,1735719833,8.73,5.74,1021,51,-0.74,,20,1400.0,5.7,260,0.0,0.0,Clouds,True
2025-01-06,1736175600,1736203630,1736238533,-2.78,-7.38,1020,62,-8.35,,0,2810.0,3.6,300,0.0,0.0,Clear,False
2025-01-02,1735779600,1735771619,1735806280,0.02,-2.55,1027,56,-6.84,,20,2420.0,2.1,330,0.0,0.0,Clouds,False
2025-01-30,1738270800,1738276607,1738313643,-2.28,-6.33,1028,73,-5.99,,75,10000.0,3.1,360,0.0,0.0,Snow,True
2025-01-08,1736362800,1736376420,1736411443,-8.47,-15.47,1025,34,-20.21,,0,4660.0,5.7,310,0.0,0.0,Clear,False
2025-01-08,1736370000,1736376420,1736411443,-9.27,-16.27,1025,37,-20.07,,0,4920.0,6.2,320,0.0,0.0,Clear,False
2025-01-20,1737352800,1737326627,1737362512,4.79,1.84,1016,60,-2.04,,75,5000.0,3.6,210,0.0,0.0,Haze,False
2025-01-30,1738231200,1738190254,1738227175,-1.57,-4.41,1029,35,-13.61,,75,10000.0,2.1,300,0.0,0.0,Clouds,True
2025-01-24,1737676800,1737672099,1737708374,-1.77,-4.52,1028,64,-7.01,,0,10000.0,2.0,20,0.0,0.0,Clear,False
2025-01-31,1738285200,1738276607,1738313643,-1.68,-5.12,1029,84,-3.75,,75,7000.0,2.6,50,0.0,0.0,Snow,False
2025-01-05,1736042400,1736030831,1736065628,0.73,-2.26,1021,94,-0.11,,100,270.0,2.6,160,0.0,0.0,Snow,False
2025-01-13,1736787600,1736808362,1736843736,2.02,-1.16,1024,92,0.86,,100,2500.0,3.1,210,0.0,0.0,Mist,False
2025-01-16,1736985600,1736981125,1737016659,-2.27,-6.32,1026,56,-9.02,,75,10000.0,3.1,140,0.0,0.0,Clouds,False
2025-01-26,1737914400,1737931184,1737967774,1.78,-1.01,1017,93,0.77,,100,10000.0,2.6,160,0.0,0.43,Rain,False
2025-01-06,1736143200,1736117232,1736152080,2.73,-1.85,1016,63,-3.19,,20,480.0,5.7,310,0.0,0.0,Haze,False
2025-01-26,1737921600,1737931184,1737967774,2.94,0.86,1015,88,1.15,,40,10000.0,2.1,90,0.48,0.0,Rain,False
2025-01-31,1738339200,1738362959,1738400110,0.61,-1.12,1026,91,-0.61,,100,6000.0,1.54,330,0.0,0.0,Mist,False
2025-01-15,1736935200,1736894744,1736930197,-2.98,-7.62,1030,40,-13.44,,0,10000.0,3.6,290,0.0,0.0,Clear,False
2025-01-03,1735941600,1735944429,1735979177,-9.21,-9.21,1028,85,-11.04,,0,10000.0,1.03,40,0.0,0.0,Clear,False
