datetime,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,rain,snow,weather
datetime,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,rain,snow,weather
20241201,1733011200,1733005697,1733040859,1.0,1.0,1018,100,1.0,,75,700.0,1.03,310,0.0,0.0,Fog
20241201,1733014800,1733005697,1733040859,1.31,-0.32,1018,100,1.31,,75,2000.0,1.54,320,0.0,0.0,Mist
20241201,1733018400,1733005697,1733040859,3.91,3.91,1018,100,3.91,,75,3500.0,1.03,310,0.0,0.0,Mist
20241201,1733022000,1733005697,1733040859,5.18,4.04,1017,96,4.6,,97,,1.59,105,0.0,0.0,Clouds
20241201,1733025600,1733005697,1733040859,6.29,4.37,1017,81,3.27,,98,7000.0,2.57,110,0.46,0.0,Rain
20241201,1733029200,1733005697,1733040859,6.76,4.56,1016,81,3.73,,100,8000.0,3.09,140,0.0,0.0,Clouds
20241201,1733032800,1733005697,1733040859,7.14,5.02,1015,82,4.28,,75,9000.0,3.09,120,0.0,0.0,Mist
20241201,1733036400,1733005697,1733040859,7.5,5.45,1015,87,5.48,,100,8000.0,3.09,110,0.0,0.0,Clouds
20241201,1733040000,1733005697,1733040859,7.91,5.37,1015,87,5.88,,99,8000.0,4.12,120,0.0,0.0,Clouds
20241201,1733043600,1733005697,1733040859,7.35,6.58,1015,93,6.29,,66,8000.0,1.54,120,0.0,0.0,Clouds
20241201,1733047200,1733005697,1733040859,6.71,4.87,1015,93,5.66,,75,8000.0,2.57,110,0.0,0.0,Clouds
20241201,1733050800,1733005697,1733040859,7.2,5.09,1015,87,5.18,,75,8000.0,3.09,150,0.0,0.0,Clouds
20241201,1733054400,1733005697,1733040859,7.11,6.31,1015,100,7.11,,100,7000.0,1.54,170,0.0,0.0,Rain
20241201,1733058000,1733005697,1733040859,7.48,4.84,1015,100,7.48,,75,6000.0,4.12,110,0.0,0.0,Clouds
20241201,1733061600,1733005697,1733040859,6.49,4.61,1015,93,5.44,,40,5000.0,2.57,240,0.0,0.0,Mist
20241201,1733065200,1733092153,1733127248,6.07,3.94,1015,92,4.87,,37,,2.79,155,0.0,0.0,Clouds
20241201,1733068800,1733092153,1733127248,5.99,3.81,1015,92,4.79,,46,,2.84,158,0.0,0.0,Clouds
20241201,1733072400,1733092153,1733127248,5.53,3.08,1015,100,5.53,,75,3500.0,3.09,140,0.0,0.0,Mist
20241201,1733076000,1733092153,1733127248,5.12,2.6,1015,93,4.08,,1,,3.07,155,0.0,0.0,Clear
20241201,1733079600,1733092153,1733127248,4.6,1.3,1015,100,4.6,,1,4000.0,4.12,140,0.0,0.0,Mist
20241201,1733083200,1733092153,1733127248,4.89,1.66,1015,100,4.89,,20,5000.0,4.12,140,0.0,0.0,Mist
20241201,1733086800,1733092153,1733127248,5.55,3.1,1014,100,5.55,,75,5000.0,3.09,140,0.0,0.0,Mist
20241201,1733090400,1733092153,1733127248,6.07,3.73,1015,100,6.07,,75,7000.0,3.09,130,0.0,0.0,Clouds
20241201,1733094000,1733092153,1733127248,6.07,4.56,1015,100,6.07,,75,7000.0,2.06,150,0.0,0.0,Clouds
20241202,1733097600,1733092153,1733127248,7.86,6.24,1015,100,7.86,,40,8000.0,2.57,160,0.0,0.0,Clouds
20241202,1733101200,1733092153,1733127248,9.53,8.6,1015,93,8.46,,40,8000.0,2.06,170,0.14,0.0,Rain
20241202,1733104800,1733092153,1733127248,10.96,10.54,1015,93,9.87,,40,8000.0,3.09,200,0.58,0.0,Rain
20241202,1733108400,1733092153,1733127248,12.47,12.07,1015,88,10.54,,75,6000.0,4.12,210,0.0,0.0,Clouds
20241202,1733112000,1733092153,1733127248,12.28,11.86,1014,88,10.35,,75,6000.0,3.6,180,0.23,0.0,Rain
